task,seed,episode_reward,episode_success
mw-button-press,0,1539.296630859375,1.0
mw-button-press,1,1640.2869873046875,1.0
mw-button-press,2,1528.7725830078125,0.0
mw-button-press,3,1617.55615234375,1.0
mw-button-press,4,1543.3720703125,0.0
mw-button-press,5,1650.478515625,1.0
mw-button-press,6,1571.1544189453125,1.0
mw-button-press,7,1520.19482421875,0.0
mw-button-press,8,1640.010498046875,1.0
mw-button-press,9,1516.516845703125,0.0
mw-button-press-wall,0,1419.140380859375,1.0
mw-button-press-wall,1,1503.18994140625,1.0
mw-button-press-wall,2,1437.6143798828125,1.0
mw-button-press-wall,3,1670.716064453125,1.0
mw-button-press-wall,4,1691.7384033203125,1.0
mw-button-press-wall,5,1388.2410888671875,1.0
mw-button-press-wall,6,1645.939697265625,1.0
mw-button-press-wall,7,1378.3258056640625,1.0
mw-button-press-wall,8,1664.5491943359375,1.0
mw-button-press-wall,9,1076.4019775390625,0.0
mw-coffee-button,0,1698.8662109375,1.0
mw-coffee-button,1,1729.408935546875,1.0
mw-coffee-button,2,1757.1990966796875,1.0
mw-coffee-button,3,1734.158203125,1.0
mw-coffee-button,4,1784.7322998046875,1.0
mw-coffee-button,5,1725.6788330078125,1.0
mw-coffee-button,6,1761.2445068359375,1.0
mw-coffee-button,7,1721.248779296875,1.0
mw-coffee-button,8,1782.9100341796875,1.0
mw-coffee-button,9,1710.8758544921875,1.0
mw-coffee-pull,0,486.9162292480469,1.0
mw-coffee-pull,1,220.91854858398438,0.0
mw-coffee-pull,2,1398.8614501953125,1.0
mw-coffee-pull,3,934.162841796875,1.0
mw-coffee-pull,4,973.219970703125,1.0
mw-coffee-pull,5,1405.469970703125,1.0
mw-coffee-pull,6,683.96484375,0.0
mw-coffee-pull,7,1168.406005859375,1.0
mw-coffee-pull,8,694.0179443359375,1.0
mw-coffee-pull,9,988.7747192382812,1.0
mw-coffee-push,0,1458.10302734375,1.0
mw-coffee-push,1,1699.6453857421875,1.0
mw-coffee-push,2,1705.499267578125,1.0
mw-coffee-push,3,1681.4490966796875,1.0
mw-coffee-push,4,306.4552917480469,1.0
mw-coffee-push,5,1017.2499389648438,1.0
mw-coffee-push,6,1678.428466796875,1.0
mw-coffee-push,7,1679.2515869140625,1.0
mw-coffee-push,8,1610.32080078125,1.0
mw-coffee-push,9,1653.3890380859375,1.0
mw-dial-turn,0,1759.0333251953125,0.0
mw-dial-turn,1,1696.739990234375,1.0
mw-dial-turn,2,1780.487060546875,0.0
mw-dial-turn,3,1720.551513671875,1.0
mw-dial-turn,4,1724.131103515625,1.0
mw-dial-turn,5,1817.4091796875,1.0
mw-dial-turn,6,1749.8704833984375,1.0
mw-dial-turn,7,1722.5218505859375,1.0
mw-dial-turn,8,1676.6053466796875,1.0
mw-dial-turn,9,1801.1533203125,1.0
mw-disassemble,0,801.9524536132812,1.0
mw-disassemble,1,1110.919921875,1.0
mw-disassemble,2,1200.27734375,1.0
mw-disassemble,3,1158.5533447265625,1.0
mw-disassemble,4,1497.4970703125,1.0
mw-disassemble,5,559.2037353515625,1.0
mw-disassemble,6,376.7279968261719,1.0
mw-disassemble,7,1183.52392578125,1.0
mw-disassemble,8,201.17115783691406,0.0
mw-disassemble,9,177.68650817871094,0.0
mw-door-open,0,1578.3304443359375,1.0
mw-door-open,1,1532.9168701171875,1.0
mw-door-open,2,1503.0758056640625,1.0
mw-door-open,3,1567.876220703125,1.0
mw-door-open,4,1570.5068359375,1.0
mw-door-open,5,1484.0184326171875,1.0
mw-door-open,6,1383.3643798828125,0.0
mw-door-open,7,1518.75537109375,1.0
mw-door-open,8,1613.915771484375,1.0
mw-door-open,9,1521.913330078125,1.0
mw-door-close,0,1549.3494873046875,1.0
mw-door-close,1,1526.7801513671875,1.0
mw-door-close,2,1547.2022705078125,1.0
mw-door-close,3,1580.10595703125,1.0
mw-door-close,4,1581.3524169921875,1.0
mw-door-close,5,1513.516845703125,1.0
mw-door-close,6,1536.1962890625,1.0
mw-door-close,7,1544.09375,1.0
mw-door-close,8,1528.7080078125,1.0
mw-door-close,9,1525.321533203125,1.0
mw-drawer-close,0,1816.96484375,1.0
mw-drawer-close,1,1871.047607421875,1.0
mw-drawer-close,2,1869.539794921875,1.0
mw-drawer-close,3,1875.823486328125,1.0
mw-drawer-close,4,1863.310791015625,1.0
mw-drawer-close,5,1868.4580078125,1.0
mw-drawer-close,6,1870.017822265625,1.0
mw-drawer-close,7,1857.1083984375,1.0
mw-drawer-close,8,1875.328369140625,1.0
mw-drawer-close,9,1848.560546875,1.0
mw-drawer-open,0,1686.328857421875,1.0
mw-drawer-open,1,1357.997314453125,1.0
mw-drawer-open,2,1729.907958984375,1.0
mw-drawer-open,3,1736.7181396484375,1.0
mw-drawer-open,4,1713.7554931640625,1.0
mw-drawer-open,5,1632.5609130859375,1.0
mw-drawer-open,6,1516.2303466796875,0.0
mw-drawer-open,7,1555.20166015625,1.0
mw-drawer-open,8,1761.6962890625,1.0
mw-drawer-open,9,1095.447998046875,0.0
mw-faucet-open,0,1627.767578125,0.0
mw-faucet-open,1,1750.0035400390625,1.0
mw-faucet-open,2,1759.0029296875,1.0
mw-faucet-open,3,1716.4027099609375,0.0
mw-faucet-open,4,1750.081787109375,1.0
mw-faucet-open,5,1659.5079345703125,0.0
mw-faucet-open,6,1743.477783203125,1.0
mw-faucet-open,7,1755.00830078125,1.0
mw-faucet-open,8,1725.314697265625,1.0
mw-faucet-open,9,1533.6221923828125,1.0
mw-faucet-close,0,1763.530517578125,1.0
mw-faucet-close,1,753.511474609375,0.0
mw-faucet-close,2,1712.1641845703125,1.0
mw-faucet-close,3,1673.341064453125,0.0
mw-faucet-close,4,1752.286376953125,1.0
mw-faucet-close,5,1452.2586669921875,1.0
mw-faucet-close,6,1604.0947265625,0.0
mw-faucet-close,7,1752.5736083984375,1.0
mw-faucet-close,8,1619.3521728515625,1.0
mw-faucet-close,9,1522.8814697265625,1.0
mw-hammer,0,1714.116455078125,1.0
