Relative Time (Process),FOWM_AntEnv_sweep_2 - _step,FOWM_AntEnv_sweep_2 - _step__MIN,FOWM_AntEnv_sweep_2 - _step__MAX,FOWM_AntEnv_sweep_2 - rewards,FOWM_AntEnv_sweep_2 - rewards__MIN,FOWM_AntEnv_sweep_2 - rewards__MAX,FOWM_AntEnv_sweep_1 - _step,FOWM_AntEnv_sweep_1 - _step__MIN,FOWM_AntEnv_sweep_1 - _step__MAX,FOWM_AntEnv_sweep_1 - rewards,FOWM_AntEnv_sweep_1 - rewards__MIN,FOWM_AntEnv_sweep_1 - rewards__MAX,FOWM_AntEnv_sweep_0 - _step,FOWM_AntEnv_sweep_0 - _step__MIN,FOWM_AntEnv_sweep_0 - _step__MAX,FOWM_AntEnv_sweep_0 - rewards,FOWM_AntEnv_sweep_0 - rewards__MIN,FOWM_AntEnv_sweep_0 - rewards__MAX
4896,,,,,,,,,,,,,67239936.0,67239936.0,67239936.0,38.460838317871094,38.460838317871094,38.460838317871094
4916,,,,,,,73760768.0,73760768.0,73760768.0,58.24176788330078,58.24176788330078,58.24176788330078,,,,,,
4935,72155136.0,72155136.0,72155136.0,37.22232818603515,37.22232818603515,37.22232818603515,,,,,,,,,,,,
5001,,,,,,,,,,,,,68878336.0,68878336.0,68878336.0,32.86327362060547,32.86327362060547,32.86327362060547
5016,,,,,,,75399168.0,75399168.0,75399168.0,54.69926452636719,54.69926452636719,54.69926452636719,,,,,,
5047,73793536.0,73793536.0,73793536.0,34.79479217529297,34.79479217529297,34.79479217529297,,,,,,,,,,,,
5118,,,,,,,,,,,,,70516736.0,70516736.0,70516736.0,35.00823974609375,35.00823974609375,35.00823974609375
5118,,,,,,,77037568.0,77037568.0,77037568.0,54.39493942260742,54.39493942260742,54.39493942260742,,,,,,
5158,75431936.0,75431936.0,75431936.0,36.53325271606445,36.53325271606445,36.53325271606445,,,,,,,,,,,,
5219,,,,,,,78675968.0,78675968.0,78675968.0,49.19511032104492,49.19511032104492,49.19511032104492,,,,,,
5241,,,,,,,,,,,,,72155136.0,72155136.0,72155136.0,40.752254486083984,40.752254486083984,40.752254486083984
5270,77070336.0,77070336.0,77070336.0,37.73755645751953,37.73755645751953,37.73755645751953,,,,,,,,,,,,
5326,,,,,,,80314368.0,80314368.0,80314368.0,53.63618469238281,53.63618469238281,53.63618469238281,,,,,,
5352,,,,,,,,,,,,,73793536.0,73793536.0,73793536.0,42.24887466430664,42.24887466430664,42.24887466430664
5381,78708736.0,78708736.0,78708736.0,37.23358154296875,37.23358154296875,37.23358154296875,,,,,,,,,,,,
5427,,,,,,,81952768.0,81952768.0,81952768.0,59.52473831176758,59.52473831176758,59.52473831176758,,,,,,
5451,,,,,,,,,,,,,75431936.0,75431936.0,75431936.0,168.80764770507812,168.80764770507812,168.80764770507812
5493,80347136.0,80347136.0,80347136.0,38.46413803100586,38.46413803100586,38.46413803100586,,,,,,,,,,,,
5531,,,,,,,83591168.0,83591168.0,83591168.0,44.90187454223633,44.90187454223633,44.90187454223633,,,,,,
5550,,,,,,,,,,,,,77070336.0,77070336.0,77070336.0,63.04423522949219,63.04423522949219,63.04423522949219
5604,81985536.0,81985536.0,81985536.0,38.28459167480469,38.28459167480469,38.28459167480469,,,,,,,,,,,,
5633,,,,,,,85229568.0,85229568.0,85229568.0,58.71877670288086,58.71877670288086,58.71877670288086,,,,,,
5657,,,,,,,,,,,,,78708736.0,78708736.0,78708736.0,87.81526184082031,87.81526184082031,87.81526184082031
5716,83623936.0,83623936.0,83623936.0,38.01181411743164,38.01181411743164,38.01181411743164,,,,,,,,,,,,
5739,,,,,,,86867968.0,86867968.0,86867968.0,66.23599243164062,66.23599243164062,66.23599243164062,,,,,,
5759,,,,,,,,,,,,,80347136.0,80347136.0,80347136.0,67.17347717285156,67.17347717285156,67.17347717285156
5827,85262336.0,85262336.0,85262336.0,38.43569564819336,38.43569564819336,38.43569564819336,,,,,,,,,,,,
5842,,,,,,,88506368.0,88506368.0,88506368.0,59.640140533447266,59.640140533447266,59.640140533447266,,,,,,
5861,,,,,,,,,,,,,81985536.0,81985536.0,81985536.0,82.69458770751953,82.69458770751953,82.69458770751953
5939,86900736.0,86900736.0,86900736.0,38.097869873046875,38.097869873046875,38.097869873046875,,,,,,,,,,,,
5944,,,,,,,90144768.0,90144768.0,90144768.0,67.31924438476562,67.31924438476562,67.31924438476562,,,,,,
5963,,,,,,,,,,,,,83623936.0,83623936.0,83623936.0,97.51665496826172,97.51665496826172,97.51665496826172
6045,,,,,,,91783168.0,91783168.0,91783168.0,50.45656967163086,50.45656967163086,50.45656967163086,,,,,,
6050,88539136.0,88539136.0,88539136.0,37.41628646850586,37.41628646850586,37.41628646850586,,,,,,,,,,,,
6063,,,,,,,,,,,,,85262336.0,85262336.0,85262336.0,92.27728271484376,92.27728271484376,92.27728271484376
6150,,,,,,,93421568.0,93421568.0,93421568.0,53.12588119506836,53.12588119506836,53.12588119506836,,,,,,
6160,,,,,,,,,,,,,86900736.0,86900736.0,86900736.0,112.16343688964844,112.16343688964844,112.16343688964844
6161,90177536.0,90177536.0,90177536.0,37.85513687133789,37.85513687133789,37.85513687133789,,,,,,,,,,,,
6247,,,,,,,95059968.0,95059968.0,95059968.0,60.88767623901367,60.88767623901367,60.88767623901367,,,,,,
6255,,,,,,,,,,,,,88539136.0,88539136.0,88539136.0,120.36737060546876,120.36737060546876,120.36737060546876
6272,91815936.0,91815936.0,91815936.0,38.41427993774414,38.41427993774414,38.41427993774414,,,,,,,,,,,,
6351,,,,,,,,,,,,,90177536.0,90177536.0,90177536.0,129.8080291748047,129.8080291748047,129.8080291748047
6352,,,,,,,96698368.0,96698368.0,96698368.0,58.68288040161133,58.68288040161133,58.68288040161133,,,,,,
6381,93454336.0,93454336.0,93454336.0,40.086181640625,40.086181640625,40.086181640625,,,,,,,,,,,,
6449,,,,,,,,,,,,,91815936.0,91815936.0,91815936.0,155.10423278808594,155.10423278808594,155.10423278808594
6454,,,,,,,98336768.0,98336768.0,98336768.0,61.45907974243164,61.45907974243164,61.45907974243164,,,,,,
6491,95092736.0,95092736.0,95092736.0,37.84079360961914,37.84079360961914,37.84079360961914,,,,,,,,,,,,
6549,,,,,,,,,,,,,93454336.0,93454336.0,93454336.0,144.46153259277344,144.46153259277344,144.46153259277344
6558,,,,,,,99975168.0,99975168.0,99975168.0,64.89087677001953,64.89087677001953,64.89087677001953,,,,,,
6599,96731136.0,96731136.0,96731136.0,38.96539688110352,38.96539688110352,38.96539688110352,,,,,,,,,,,,
6641,,,,,,,,,,,,,95092736.0,95092736.0,95092736.0,183.71522521972656,183.71522521972656,183.71522521972656
6657,,,,,,,101613568.0,101613568.0,101613568.0,59.7431526184082,59.7431526184082,59.7431526184082,,,,,,
6708,98369536.0,98369536.0,98369536.0,39.92528533935547,39.92528533935547,39.92528533935547,,,,,,,,,,,,
6736,,,,,,,,,,,,,96731136.0,96731136.0,96731136.0,163.54771423339844,163.54771423339844,163.54771423339844
6764,,,,,,,103251968.0,103251968.0,103251968.0,64.13697814941406,64.13697814941406,64.13697814941406,,,,,,
6818,100007936.0,100007936.0,100007936.0,39.5648193359375,39.5648193359375,39.5648193359375,,,,,,,,,,,,
6830,,,,,,,,,,,,,98369536.0,98369536.0,98369536.0,206.1649932861328,206.1649932861328,206.1649932861328
6859,,,,,,,104890368.0,104890368.0,104890368.0,75.6319580078125,75.6319580078125,75.6319580078125,,,,,,
6920,,,,,,,,,,,,,100007936.0,100007936.0,100007936.0,234.08663940429688,234.08663940429688,234.08663940429688
6927,101646336.0,101646336.0,101646336.0,40.67911529541016,40.67911529541016,40.67911529541016,,,,,,,,,,,,
6957,,,,,,,106528768.0,106528768.0,106528768.0,71.7800064086914,71.7800064086914,71.7800064086914,,,,,,
7013,,,,,,,,,,,,,101646336.0,101646336.0,101646336.0,269.9490966796875,269.9490966796875,269.9490966796875
7032,103284736.0,103284736.0,103284736.0,44.04238510131836,44.04238510131836,44.04238510131836,,,,,,,,,,,,
7055,,,,,,,108167168.0,108167168.0,108167168.0,77.72213745117188,77.72213745117188,77.72213745117188,,,,,,
7104,,,,,,,,,,,,,103284736.0,103284736.0,103284736.0,273.90478515625,273.90478515625,273.90478515625
7135,104923136.0,104923136.0,104923136.0,50.79155349731445,50.79155349731445,50.79155349731445,,,,,,,,,,,,
7151,,,,,,,109805568.0,109805568.0,109805568.0,72.61726379394531,72.61726379394531,72.61726379394531,,,,,,
7201,,,,,,,,,,,,,104923136.0,104923136.0,104923136.0,223.9384765625,223.9384765625,223.9384765625
7236,106561536.0,106561536.0,106561536.0,42.675575256347656,42.675575256347656,42.675575256347656,,,,,,,,,,,,
7249,,,,,,,111443968.0,111443968.0,111443968.0,83.52497863769531,83.52497863769531,83.52497863769531,,,,,,
7300,,,,,,,,,,,,,106561536.0,106561536.0,106561536.0,185.93341064453125,185.93341064453125,185.93341064453125
7338,108199936.0,108199936.0,108199936.0,66.49666595458984,66.49666595458984,66.49666595458984,,,,,,,,,,,,
7346,,,,,,,113082368.0,113082368.0,113082368.0,96.50223541259766,96.50223541259766,96.50223541259766,,,,,,
7391,,,,,,,,,,,,,108199936.0,108199936.0,108199936.0,228.8204803466797,228.8204803466797,228.8204803466797
7441,109838336.0,109838336.0,109838336.0,64.21154022216797,64.21154022216797,64.21154022216797,,,,,,,,,,,,
7442,,,,,,,114720768.0,114720768.0,114720768.0,94.19953155517578,94.19953155517578,94.19953155517578,,,,,,
7483,,,,,,,,,,,,,109838336.0,109838336.0,109838336.0,230.28404235839844,230.28404235839844,230.28404235839844
7539,,,,,,,116359168.0,116359168.0,116359168.0,104.51763153076172,104.51763153076172,104.51763153076172,,,,,,
7543,111476736.0,111476736.0,111476736.0,54.94050598144531,54.94050598144531,54.94050598144531,,,,,,,,,,,,
7575,,,,,,,,,,,,,111476736.0,111476736.0,111476736.0,278.3186340332031,278.3186340332031,278.3186340332031
7632,,,,,,,117997568.0,117997568.0,117997568.0,173.88841247558594,173.88841247558594,173.88841247558594,,,,,,
7648,113115136.0,113115136.0,113115136.0,43.7338752746582,43.7338752746582,43.7338752746582,,,,,,,,,,,,
7669,,,,,,,,,,,,,113115136.0,113115136.0,113115136.0,281.0422058105469,281.0422058105469,281.0422058105469
7723,,,,,,,119635968.0,119635968.0,119635968.0,201.13775634765625,201.13775634765625,201.13775634765625,,,,,,
7751,114753536.0,114753536.0,114753536.0,49.57622146606445,49.57622146606445,49.57622146606445,,,,,,,,,,,,
