"global_step","honest-sweep-20 - _step","honest-sweep-20 - _step__MIN","honest-sweep-20 - _step__MAX","honest-sweep-20 - rewards/step","honest-sweep-20 - rewards/step__MIN","honest-sweep-20 - rewards/step__MAX","upbeat-sweep-19 - _step","upbeat-sweep-19 - _step__MIN","upbeat-sweep-19 - _step__MAX","upbeat-sweep-19 - rewards/step","upbeat-sweep-19 - rewards/step__MIN","upbeat-sweep-19 - rewards/step__MAX","easy-sweep-13 - _step","easy-sweep-13 - _step__MIN","easy-sweep-13 - _step__MAX","easy-sweep-13 - rewards/step","easy-sweep-13 - rewards/step__MIN","easy-sweep-13 - rewards/step__MAX","helpful-sweep-9 - _step","helpful-sweep-9 - _step__MIN","helpful-sweep-9 - _step__MAX","helpful-sweep-9 - rewards/step","helpful-sweep-9 - rewards/step__MIN","helpful-sweep-9 - rewards/step__MAX","serene-sweep-7 - _step","serene-sweep-7 - _step__MIN","serene-sweep-7 - _step__MAX","serene-sweep-7 - rewards/step","serene-sweep-7 - rewards/step__MIN","serene-sweep-7 - rewards/step__MAX"
"12533760","154","154","154","3709.60498046875","3709.60498046875","3709.60498046875","154","154","154","3915.724853515625","3915.724853515625","3915.724853515625","154","154","154","2980.17138671875","2980.17138671875","2980.17138671875","154","154","154","3957.49462890625","3957.49462890625","3957.49462890625","154","154","154","3884.75341796875","3884.75341796875","3884.75341796875"
"12779520","157","157","157","3707.969970703125","3707.969970703125","3707.969970703125","157","157","157","3916.392822265625","3916.392822265625","3916.392822265625","157","157","157","3011.42626953125","3011.42626953125","3011.42626953125","157","157","157","3917.131103515625","3917.131103515625","3917.131103515625","157","157","157","3874.32177734375","3874.32177734375","3874.32177734375"
"13025280","160","160","160","3724.441162109375","3724.441162109375","3724.441162109375","160","160","160","3907.192138671875","3907.192138671875","3907.192138671875","160","160","160","3048.43994140625","3048.43994140625","3048.43994140625","160","160","160","3970.9814453125","3970.9814453125","3970.9814453125","160","160","160","3811.61083984375","3811.61083984375","3811.61083984375"
"13271040","163","163","163","3718.967529296875","3718.967529296875","3718.967529296875","163","163","163","3913.182373046875","3913.182373046875","3913.182373046875","163","163","163","3063.501220703125","3063.501220703125","3063.501220703125","163","163","163","3967.117919921875","3967.117919921875","3967.117919921875","163","163","163","3843.841552734375","3843.841552734375","3843.841552734375"
"13516800","166","166","166","3747.1982421875","3747.1982421875","3747.1982421875","166","166","166","3912.106201171875","3912.106201171875","3912.106201171875","166","166","166","3090.27490234375","3090.27490234375","3090.27490234375","166","166","166","4003.627685546875","4003.627685546875","4003.627685546875","166","166","166","3922.501708984375","3922.501708984375","3922.501708984375"
"13762560","169","169","169","3774.86376953125","3774.86376953125","3774.86376953125","169","169","169","3914.405029296875","3914.405029296875","3914.405029296875","169","169","169","3042.014404296875","3042.014404296875","3042.014404296875","169","169","169","3995.313232421875","3995.313232421875","3995.313232421875","169","169","169","3975.85107421875","3975.85107421875","3975.85107421875"
"14008320","172","172","172","3796.157958984375","3796.157958984375","3796.157958984375","172","172","172","3925.32177734375","3925.32177734375","3925.32177734375","172","172","172","3121.53857421875","3121.53857421875","3121.53857421875","172","172","172","4037.853271484375","4037.853271484375","4037.853271484375","172","172","172","3980.016845703125","3980.016845703125","3980.016845703125"
"14254080","175","175","175","3815.03271484375","3815.03271484375","3815.03271484375","175","175","175","3865.137451171875","3865.137451171875","3865.137451171875","175","175","175","3044.632080078125","3044.632080078125","3044.632080078125","175","175","175","4042.771240234375","4042.771240234375","4042.771240234375","175","175","175","3944.79736328125","3944.79736328125","3944.79736328125"
"14499840","178","178","178","3827.233154296875","3827.233154296875","3827.233154296875","178","178","178","3887.5185546875","3887.5185546875","3887.5185546875","178","178","178","3195.748046875","3195.748046875","3195.748046875","178","178","178","4071.56689453125","4071.56689453125","4071.56689453125","178","178","178","3984.06201171875","3984.06201171875","3984.06201171875"
"14745600","181","181","181","3821.436279296875","3821.436279296875","3821.436279296875","181","181","181","3918.210205078125","3918.210205078125","3918.210205078125","181","181","181","3191.725830078125","3191.725830078125","3191.725830078125","181","181","181","4078.849609375","4078.849609375","4078.849609375","181","181","181","4026.3408203125","4026.3408203125","4026.3408203125"
"14991360","184","184","184","3813.788330078125","3813.788330078125","3813.788330078125","184","184","184","3890.044677734375","3890.044677734375","3890.044677734375","184","184","184","3195.760986328125","3195.760986328125","3195.760986328125","184","184","184","4070.18310546875","4070.18310546875","4070.18310546875","184","184","184","4045.398681640625","4045.398681640625","4045.398681640625"
"15237120","187","187","187","3828.2109375","3828.2109375","3828.2109375","187","187","187","3905.69580078125","3905.69580078125","3905.69580078125","187","187","187","3238.12744140625","3238.12744140625","3238.12744140625","187","187","187","4062.10498046875","4062.10498046875","4062.10498046875","187","187","187","4043.60302734375","4043.60302734375","4043.60302734375"
"15482880","190","190","190","3803.04345703125","3803.04345703125","3803.04345703125","190","190","190","3905.37890625","3905.37890625","3905.37890625","190","190","190","3288.653564453125","3288.653564453125","3288.653564453125","190","190","190","4086.602294921875","4086.602294921875","4086.602294921875","190","190","190","4050.691162109375","4050.691162109375","4050.691162109375"
"15728640","193","193","193","3822.435302734375","3822.435302734375","3822.435302734375","193","193","193","3919.36865234375","3919.36865234375","3919.36865234375","193","193","193","3306.7177734375","3306.7177734375","3306.7177734375","193","193","193","4094.77685546875","4094.77685546875","4094.77685546875","193","193","193","4051.26904296875","4051.26904296875","4051.26904296875"
"15974400","196","196","196","3836.927978515625","3836.927978515625","3836.927978515625","196","196","196","3915.52490234375","3915.52490234375","3915.52490234375","196","196","196","3276.64111328125","3276.64111328125","3276.64111328125","196","196","196","4103.01220703125","4103.01220703125","4103.01220703125","196","196","196","4061.849853515625","4061.849853515625","4061.849853515625"
"16220160","199","199","199","3767.74462890625","3767.74462890625","3767.74462890625","199","199","199","3906.7529296875","3906.7529296875","3906.7529296875","199","199","199","3276.37744140625","3276.37744140625","3276.37744140625","199","199","199","4108.1943359375","4108.1943359375","4108.1943359375","199","199","199","4003.019287109375","4003.019287109375","4003.019287109375"
"16465920","202","202","202","3773.062744140625","3773.062744140625","3773.062744140625","202","202","202","3950.01904296875","3950.01904296875","3950.01904296875","202","202","202","3339.373046875","3339.373046875","3339.373046875","202","202","202","4110.19189453125","4110.19189453125","4110.19189453125","202","202","202","4041.779296875","4041.779296875","4041.779296875"
"16711680","205","205","205","3802.708251953125","3802.708251953125","3802.708251953125","205","205","205","3929.537109375","3929.537109375","3929.537109375","205","205","205","3340.7109375","3340.7109375","3340.7109375","205","205","205","4099.4697265625","4099.4697265625","4099.4697265625","205","205","205","4025.2998046875","4025.2998046875","4025.2998046875"
"16957440","208","208","208","3858.24462890625","3858.24462890625","3858.24462890625","208","208","208","3955.936279296875","3955.936279296875","3955.936279296875","208","208","208","3259.39306640625","3259.39306640625","3259.39306640625","208","208","208","4098.212890625","4098.212890625","4098.212890625","208","208","208","4066.904541015625","4066.904541015625","4066.904541015625"
"17203200","211","211","211","3875.505859375","3875.505859375","3875.505859375","211","211","211","3926.299560546875","3926.299560546875","3926.299560546875","211","211","211","2738.56640625","2738.56640625","2738.56640625","211","211","211","4090.779296875","4090.779296875","4090.779296875","211","211","211","4061.766357421875","4061.766357421875","4061.766357421875"
"17448960","214","214","214","3885.859375","3885.859375","3885.859375","214","214","214","3920.89013671875","3920.89013671875","3920.89013671875","214","214","214","3392.657958984375","3392.657958984375","3392.657958984375","214","214","214","4099.41796875","4099.41796875","4099.41796875","214","214","214","4103.68359375","4103.68359375","4103.68359375"
"17694720","217","217","217","3896.953857421875","3896.953857421875","3896.953857421875","217","217","217","3944.951171875","3944.951171875","3944.951171875","217","217","217","3601.208740234375","3601.208740234375","3601.208740234375","217","217","217","4102.86279296875","4102.86279296875","4102.86279296875","217","217","217","4075.352783203125","4075.352783203125","4075.352783203125"
"17940480","220","220","220","3900.127685546875","3900.127685546875","3900.127685546875","220","220","220","3909.195556640625","3909.195556640625","3909.195556640625","220","220","220","3597.240234375","3597.240234375","3597.240234375","220","220","220","4112.744140625","4112.744140625","4112.744140625","220","220","220","4103.54931640625","4103.54931640625","4103.54931640625"
"18186240","223","223","223","3916.076416015625","3916.076416015625","3916.076416015625","223","223","223","3625.02734375","3625.02734375","3625.02734375","223","223","223","3663.239990234375","3663.239990234375","3663.239990234375","223","223","223","4132.2568359375","4132.2568359375","4132.2568359375","223","223","223","4119.94091796875","4119.94091796875","4119.94091796875"
"18432000","226","226","226","3873.54345703125","3873.54345703125","3873.54345703125","226","226","226","3838.73486328125","3838.73486328125","3838.73486328125","226","226","226","3722.297607421875","3722.297607421875","3722.297607421875","226","226","226","4132.65185546875","4132.65185546875","4132.65185546875","226","226","226","4105.1806640625","4105.1806640625","4105.1806640625"
